direction,modern_section,modern_title,legacy_section,legacy_title,score,reason
companies_1956_to_2013,29,Public offer of securities to be in dematerialised form.—(1) Notwithstanding anything contained,68B,INITIAL OFFER OF SECURITIES TO BE IN DEMATERIALISED FORM IN CERTAIN CASES,5.091,"shared_keywords=['dematerialised', 'form', 'offer', 'securities']; title_jaccard=0.36"
companies_2013_to_1956,172,Penalty.— If a company is in default in complying with any of the provisions of this Chapter,168,PENALTY FOR DEFAULT IN COMPLYING WITH SECTION 166 OR 167,4.900,"shared_keywords=['complying', 'default', 'penalty']; title_jaccard=0.60"
companies_1956_to_2013,172,Penalty.— If a company is in default in complying with any of the provisions of this Chapter,168,PENALTY FOR DEFAULT IN COMPLYING WITH SECTION 166 OR 167,4.900,"shared_keywords=['complying', 'default', 'penalty']; title_jaccard=0.60"
companies_2013_to_1956,80,Date of notice of charge.—Where any charge on any property or assets of a company or any of its,126,DATE OF NOTICE OF CHARGE,4.800,"shared_keywords=['charge', 'date', 'notice']; title_jaccard=0.60"
companies_1956_to_2013,80,Date of notice of charge.—Where any charge on any property or assets of a company or any of its,126,DATE OF NOTICE OF CHARGE,4.800,"shared_keywords=['charge', 'date', 'notice']; title_jaccard=0.60"
companies_2013_to_1956,96,Annual general meeting. —(1) Every company other than a One Person Company shall in each,166,ANNUAL GENERAL MEETING,4.800,"shared_keywords=['annual', 'general', 'meeting']; title_jaccard=0.60"
companies_1956_to_2013,96,Annual general meeting. —(1) Every company other than a One Person Company shall in each,166,ANNUAL GENERAL MEETING,4.800,"shared_keywords=['annual', 'general', 'meeting']; title_jaccard=0.60"
companies_2013_to_1956,128,"Books of account, etc., to be kept by company.—(1) Every company shall prepare and keep at",209,BOOKS OF ACCOUNT TO BE KEPT BY COMPANY,4.800,"shared_keywords=['account', 'books', 'kept']; title_jaccard=0.60"
companies_1956_to_2013,128,"Books of account, etc., to be kept by company.—(1) Every company shall prepare and keep at",209,BOOKS OF ACCOUNT TO BE KEPT BY COMPANY,4.800,"shared_keywords=['account', 'books', 'kept']; title_jaccard=0.60"
companies_2013_to_1956,37,"Where shares are converted into stock,",96,EFFECT OF CONVERSION OF SHARES INTO STOCK,4.500,"shared_keywords=['into', 'shares', 'stock']; title_jaccard=0.50"
companies_1956_to_2013,37,"Where shares are converted into stock,",96,EFFECT OF CONVERSION OF SHARES INTO STOCK,4.500,"shared_keywords=['into', 'shares', 'stock']; title_jaccard=0.50"
companies_2013_to_1956,53,"Prohibition on issue of shares at discount. —(1) Except as provided in section 54, a company",79,POWER TO ISSUE SHARES AT A DISCOUNT,4.500,"shared_keywords=['discount', 'issue', 'shares']; title_jaccard=0.50"
companies_1956_to_2013,53,"Prohibition on issue of shares at discount. —(1) Except as provided in section 54, a company",79,POWER TO ISSUE SHARES AT A DISCOUNT,4.500,"shared_keywords=['discount', 'issue', 'shares']; title_jaccard=0.50"
companies_2013_to_1956,116,Resolutions passed at adjourned meeting. —Where a resolution is passed at an adjourned,191,RESOLUTIONS PASSED AT ADJOURNED MEETINGS,4.500,"shared_keywords=['adjourned', 'passed', 'resolutions']; title_jaccard=0.50"
companies_1956_to_2013,116,Resolutions passed at adjourned meeting. —Where a resolution is passed at an adjourned,191,RESOLUTIONS PASSED AT ADJOURNED MEETINGS,4.500,"shared_keywords=['adjourned', 'passed', 'resolutions']; title_jaccard=0.50"
companies_2013_to_1956,43,"Kinds of share capital.—The share capital of a company limited by shares shall be of two kinds,",86,NEW ISSUES OF SHARE CAPITAL TO BE ONLY OF TWO KINDS,4.286,"shared_keywords=['capital', 'kinds', 'share']; title_jaccard=0.43"
companies_1956_to_2013,43,"Kinds of share capital.—The share capital of a company limited by shares shall be of two kinds,",86,NEW ISSUES OF SHARE CAPITAL TO BE ONLY OF TWO KINDS,4.286,"shared_keywords=['capital', 'kinds', 'share']; title_jaccard=0.43"
companies_2013_to_1956,55,"Issue and redemption of preference shares. —(1) No company limited by shares shall, after the",80,POWER TO ISSUE REDEEMABLE PREFERENCE SHARES,4.286,"shared_keywords=['issue', 'preference', 'shares']; title_jaccard=0.43"
